dataset;categorie;subcategorie;question;question_type;right_answer;first_try_answer;first_try_correct;first_try_max_prob;first_try_entropy;first_try_margin;first_try_verbal;second_try_answer;second_try_correct;second_try_max_prob;second_try_entropy;second_try_margin;second_try_verbal
strategyqa_dev;dummy_categorie;dummy_subcategorie;Does the central processing unit usually have a dedicated fan?;multi_str;['True'];['no'];False;93.82;92.54;0.88;90.0;['yes', 'sometimes'];False;99.92;99.68;1.0;75.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Can Cyril Ramaphosa become Secretary General of NATO?;multi_str;['False'];['no'];False;99.98;99.9;1.0;100.0;['no'];False;100.0;100.0;1.0;100.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Is Brooklyn known for its bread products?;multi_str;['True'];['yes'];False;98.7;96.53;0.97;95.0;['yes'];False;100.0;99.99;1.0;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Did the Royal Air Force fight in the Boxer Rebellion?;multi_str;['False'];['no'];False;99.87;99.45;1.0;100.0;['no'];False;100.0;99.99;1.0;100.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Did François Mitterrand serve under Napoleon Bonapart in the French army?;multi_str;['False'];['no'];False;99.81;99.27;1.0;100.0;['no'];False;100.0;100.0;1.0;100.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Can amoebas get cancer?;multi_str;['False'];['no'];False;95.33;92.91;0.91;95.0;['no'];False;100.0;99.99;1.0;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Is Cholera alive?;multi_str;['True'];['cholera is not alive'];False;94.48;89.93;0.9;95.0;['cholera is not alive'];False;99.98;99.89;1.0;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Would someone typically confuse a sweet potato with a pineapple?;multi_str;['False'];['no'];False;93.74;90.77;0.88;95.0;['no'];False;99.81;99.47;1.0;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Would it be common to find a penguin in Miami?;multi_str;['False'];['no'];False;89.73;86.56;0.79;95.0;['no'];False;100.0;99.99;1.0;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Are tumors in the lymph nodes ignorable?;multi_str;['False'];['no', 'tumors in the lymph nodes are not ignorable'];False;98.68;97.22;0.98;95.0;['no', 'tumors in the lymph nodes are not ignorable'];False;100.0;100.0;1.0;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Did Spiderman fight against Falcon in the MCU?;multi_str;['True'];['no'];False;99.72;98.99;0.99;95.0;['no'];False;100.0;99.99;1.0;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Is Shiva's divine dance an ancient physical fitness pose?;multi_str;['False'];['no'];False;93.16;90.5;0.86;95.0;['no'];False;100.0;99.99;1.0;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Do hyenas appear in a Broadway musical?;multi_str;['True'];['yes'];False;95.08;91.39;0.91;90.0;['yes'];False;99.88;99.63;1.0;90.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Would an owl monkey enjoy a strawberry?;multi_str;['True'];['yes'];False;96.88;92.14;0.95;75.0;['yes'];False;100.0;99.99;1.0;75.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Can a snake swallow an M60 Patton?;multi_str;['False'];['no'];False;96.83;94.01;0.94;95.0;['no'];False;100.0;99.99;1.0;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Would Avengers Comics be out of place in a DC Comics store?;multi_str;['True'];['no'];False;97.16;95.0;0.95;95.0;['no'];False;100.0;100.0;1.0;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Can the Persian Gulf fit in New Jersey?;multi_str;['False'];['no'];False;95.72;93.41;0.92;95.0;['no'];False;99.77;99.36;1.0;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Is Nicole Kidman ideal choice to play Psylocke based on height and weight?;multi_str;['True'];['no'];False;93.47;86.92;0.88;75.0;['no'];False;100.0;99.98;1.0;75.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Could Bernie Sanders visit the Metropolitan Museum of Art twenty times for under two hundred dollars?;multi_str;['False'];['no'];False;99.85;99.37;1.0;95.0;['no'];False;100.0;99.99;1.0;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Can Planned Parenthood tell your University that you have Herpes simplex virus?;multi_str;['False'];['no'];False;94.69;91.91;0.89;95.0;['no'];False;100.0;99.99;1.0;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Would Achilles dominate Legolas in a hypothetical fight?;multi_str;['False'];['yes', 'achilles would dominate legolas'];False;95.24;92.16;0.91;85.0;['yes', 'achilles would dominate legolas'];False;100.0;100.0;1.0;85.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Is Bucharest located south of Egypt?;multi_str;['False'];['no'];False;96.99;93.78;0.94;95.0;['no'];False;100.0;99.97;1.0;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Will a rock float in the atmosphere of Earth?;multi_str;['False'];['no'];False;96.96;94.05;0.94;100.0;['no'];False;100.0;99.99;1.0;100.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Have rhinoceroses been killed to improve human sex lives?;multi_str;['True'];['no'];False;93.98;90.41;0.89;95.0;['no'];False;100.0;100.0;1.0;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Does ABBA have similar gender configuration to The Mamas & The Papas?;multi_str;['True'];['no'];False;97.81;95.94;0.96;95.0;['no'];False;100.0;100.0;1.0;95.0
strategyqa_dev;dummy_categorie;dummy_subcategorie;Would the author of Little Women have remembered the ratification of the 13th Amendment?;multi_str;['True'];['yes', 'the author would have remembered the ratification of the 13th amendment'];False;98.71;96.68;0.98;95.0;['yes', 'the author would have remembered the ratification of the 13th amendment'];False;100.0;100.0;1.0;95.0
